mode,epoch,train_loss,train_acc,test_loss,test_acc
original,1,1.3458611951828003,0.52108,1.10001261882782,0.6078
original,2,0.9589430611038208,0.66152,0.9373787573814392,0.6677
original,3,0.8038846979141235,0.7194,0.8643811964988708,0.6982
original,4,0.6903055656051635,0.75878,0.8422164047241211,0.7145
original,5,0.5894192809677125,0.79416,0.8660928694725036,0.7098
original,6,0.4968377610111236,0.82644,0.8534485074043274,0.7201
original,7,0.4095898842716217,0.85776,0.8979213521003723,0.7169
original,8,0.3324651689887047,0.88344,0.967953743839264,0.7181
original,9,0.2624193098354339,0.90968,1.0248044664382934,0.7223
original,10,0.2041143547725677,0.92928,1.1699628231048584,0.7206
low,1,1.5371889679336548,0.44638,1.3565446310043334,0.5061
low,2,1.288786025943756,0.54126,1.2776029676437377,0.5469
low,3,1.180490810394287,0.57828,1.197207978439331,0.5783
low,4,1.0958607919311525,0.60914,1.1316366333007812,0.6009
low,5,1.0225213764953611,0.63772,1.1281441812515258,0.6035
low,6,0.954622363243103,0.66234,1.1494352470397948,0.6095
low,7,0.8950143796157837,0.6837,1.1159199375152589,0.6172
low,8,0.8347895077133178,0.70296,1.1419694414138797,0.6109
low,9,0.7788349482059479,0.72432,1.138476617717743,0.618
low,10,0.7243233553886413,0.74296,1.1476345497131348,0.6205
high,1,1.4451497985267638,0.49036,1.1420446495056151,0.6073
high,2,1.0365045113754272,0.64452,1.0005208301544188,0.6556
high,3,0.8695912678527832,0.70084,0.9124190406799316,0.6887
high,4,0.7466911926269532,0.74172,0.9108470611572266,0.689
high,5,0.6415858973693848,0.77958,0.8685950306892395,0.7083
high,6,0.5499605781745911,0.80772,0.8636915323257446,0.7205
high,7,0.4612390270519256,0.84008,0.9529014171600342,0.7062
high,8,0.3821001220417023,0.86608,1.0123773887634278,0.7059
high,9,0.3124869398784637,0.88982,1.0688698415756226,0.7067
high,10,0.2492572134542465,0.91402,1.2019145133972169,0.7052
noisy,1,1.4706189995193482,0.47052,1.2710128532409668,0.5444
noisy,2,1.16671065700531,0.5866,1.1170471223831178,0.6024
noisy,3,1.0286842957305908,0.6358,1.0843856842041015,0.6168
noisy,4,0.9429994781303406,0.66748,1.0453671956062316,0.6292
noisy,5,0.8793121274566651,0.6899,1.017002410697937,0.6452
noisy,6,0.8143731518745423,0.71172,1.0387996233940124,0.64
noisy,7,0.7638043392753601,0.73064,1.0751170429229735,0.6345
noisy,8,0.7245200158691406,0.74374,1.036046725845337,0.6527
noisy,9,0.680596166229248,0.76012,1.0737911533355713,0.6515
noisy,10,0.6476868437385559,0.7696,1.1297268721580505,0.6424
