mode,epoch,train_loss,train_acc,test_loss,test_acc
original,1,1.3458611951828003,0.52108,1.1000126188278199,0.6078
original,2,0.9589430611038208,0.66152,0.9373787573814392,0.6677
original,3,0.8038846979141235,0.7194,0.8643811964988708,0.6982
original,4,0.6903055656051635,0.75878,0.8422164047241211,0.7145
original,5,0.5894192809677125,0.79416,0.8660928694725036,0.7098
original,6,0.49683776101112365,0.82644,0.8534485074043274,0.7201
original,7,0.4095898842716217,0.85776,0.8979213521003723,0.7169
original,8,0.3324651689887047,0.88344,0.9679537438392639,0.7181
original,9,0.26241930983543393,0.90968,1.0248044664382934,0.7223
original,10,0.20411435477256776,0.92928,1.1699628231048584,0.7206
