mode,epoch,train_loss,train_acc,test_loss,test_acc
high,1,1.4451497985267638,0.49036,1.1420446495056151,0.6073
high,2,1.0365045113754272,0.64452,1.0005208301544188,0.6556
high,3,0.8695912678527832,0.70084,0.9124190406799316,0.6887
high,4,0.7466911926269532,0.74172,0.9108470611572266,0.689
high,5,0.6415858973693848,0.77958,0.8685950306892395,0.7083
high,6,0.5499605781745911,0.80772,0.8636915323257446,0.7205
high,7,0.46123902705192565,0.84008,0.9529014171600342,0.7062
high,8,0.3821001220417023,0.86608,1.0123773887634278,0.7059
high,9,0.31248693987846377,0.88982,1.0688698415756226,0.7067
high,10,0.24925721345424653,0.91402,1.2019145133972169,0.7052
