mode,epoch,train_loss,train_acc,test_loss,test_acc
low,1,1.5371889679336548,0.44638,1.3565446310043334,0.5061
low,2,1.288786025943756,0.54126,1.2776029676437377,0.5469
low,3,1.180490810394287,0.57828,1.197207978439331,0.5783
low,4,1.0958607919311523,0.60914,1.1316366333007812,0.6009
low,5,1.0225213764953613,0.63772,1.1281441812515258,0.6035
low,6,0.954622363243103,0.66234,1.1494352470397948,0.6095
low,7,0.8950143796157837,0.6837,1.1159199375152589,0.6172
low,8,0.8347895077133178,0.70296,1.1419694414138795,0.6109
low,9,0.7788349482059479,0.72432,1.138476617717743,0.618
low,10,0.7243233553886413,0.74296,1.1476345497131348,0.6205
