mode,epoch,train_loss,train_acc,test_loss,test_acc
noisy,1,1.4706189995193482,0.47052,1.2710128532409668,0.5444
noisy,2,1.16671065700531,0.5866,1.1170471223831178,0.6024
noisy,3,1.0286842957305908,0.6358,1.0843856842041015,0.6168
noisy,4,0.9429994781303406,0.66748,1.0453671956062316,0.6292
noisy,5,0.8793121274566651,0.6899,1.017002410697937,0.6452
noisy,6,0.8143731518745423,0.71172,1.0387996233940124,0.64
noisy,7,0.7638043392753601,0.73064,1.0751170429229737,0.6345
noisy,8,0.7245200158691406,0.74374,1.036046725845337,0.6527
noisy,9,0.680596166229248,0.76012,1.0737911533355713,0.6515
noisy,10,0.6476868437385559,0.7696,1.1297268721580505,0.6424
